Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C2988369,GT-USB-7010ASV,G-Switch,SMD,,"USB 2.0 3A 1 Surface Mount, Right Angle 16P Female -40℃~+85℃ Type-C SMD USB Connectors ROHS",yes,5,5,5,0.0805,0.40,https://lcsc.com/product-detail/usb-connectors_g-switch-gt-usb-7010asv_C2988369.html
2,C82544,1N5819HW-7-F,DIODES,SOD-123,,40V 450mV@1A 1A SOD-123 Schottky Diodes ROHS,yes,20,20,20,0.0270,0.54,https://lcsc.com/product-detail/schottky-diodes_diodes-1n5819hw-7-f_C82544.html
3,C964632,CP2102N-A02-GQFN28R,SILICON LABS,QFN-28-EP(5x5),,USB to UART QFN-28-EP(5x5) USB Converters ROHS,yes,1,1,1,1.6632,1.66,https://lcsc.com/product-detail/usb-converters_silicon-labs-cp2102n-a02-gqfn28r_C964632.html
4,C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,,5A 1 16P Female Type-C SMD USB Connectors ROHS,yes,5,5,5,0.1738,0.87,https://lcsc.com/product-detail/usb-connectors_korean-hroparts-elec-type-c-31-m-12_C165948.html
5,C2907406,FRC1206P000 TS,FOJAN,1206,,250mW Thick Film Resistor 200V ±5% 0Ω 1206 Chip Resistor - Surface Mount ROHS,yes,100,100,100,0.0019,0.19,https://lcsc.com/product-detail/chip-resistor-surface-mount_fojan-frc1206p000-ts_C2907406.html
6,C14860,CL31B106KAHNNNE,Samsung Electro-Mechanics,1206,,25V 10uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,10,10,10,0.0260,0.26,https://lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl31b106kahnnne_C14860.html
7,C13585,CL31A106KBHNNNE,Samsung Electro-Mechanics,1206,,50V 10uF X5R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,10,10,10,0.0345,0.35,https://lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl31a106kbhnnne_C13585.html
8,C2907440,FRC1206J102 TS,FOJAN,1206,,250mW Thick Film Resistor 200V ±100ppm/℃ ±5% 1kΩ 1206 Chip Resistor - Surface Mount ROHS,yes,100,100,100,0.0022,0.22,https://lcsc.com/product-detail/chip-resistor-surface-mount_fojan-frc1206j102-ts_C2907440.html
9,C22375106,FRC1206F4752TS,FOJAN,1206,,250mW Thick Film Resistor ±100ppm/℃ ±1% 47.5kΩ 1206 Chip Resistor - Surface Mount ROHS,yes,100,100,100,0.0028,0.28,https://lcsc.com/product-detail/chip-resistor-surface-mount_fojan-frc1206f4752ts_C22375106.html
10,C488738,RC1206FR-0722R1L,YAGEO,1206,,250mW Thick Film Resistor 200V ±100ppm/℃ ±1% 22.1Ω 1206 Chip Resistor - Surface Mount ROHS,yes,100,100,100,0.0036,0.36,https://lcsc.com/product-detail/chip-resistor-surface-mount_yageo-rc1206fr-0722r1l_C488738.html
11,C28322,CL31B105KAHNNNE,Samsung Electro-Mechanics,1206,,25V 1uF X7R ±10% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,10,10,10,0.0222,0.22,https://lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl31b105kahnnne_C28322.html
